disease,symptom1,symptom2,symptom3,symptom4,symptom5
COVID19,shortness_of_breath,fever,cough,fatigue,loss_of_taste
COVID19,fever,body_ache,fatigue,cough,headache
COVID19,loss_of_taste,loss_of_smell,fever,fatigue,cough
Migraine,severe_headache,nausea,vomiting,light_sensitivity,blurred_vision
Migraine,throbbing_headache,nausea,light_sensitivity,vomiting,dizziness
Migraine,severe_headache,vomiting,light_sensitivity,nausea,fatigue
Migraine,headache,nausea,blurred_vision,light_sensitivity,dizziness
Migraine,throbbing_headache,light_sensitivity,nausea,fatigue,vomiting
Anemia,fatigue,weakness,pale_skin,shortness_of_breath,dizziness
Anemia,weakness,pale_skin,fatigue,dizziness,cold_hands
Anemia,fatigue,dizziness,pale_skin,weakness,headache
Anemia,shortness_of_breath,fatigue,pale_skin,weakness,cold_feet
Anemia,dizziness,fatigue,weakness,pale_skin,irregular_heartbeat
UTI,frequent_urination,burning_urination,pelvic_pain,cloudy_urine,fever
UTI,burning_urination,frequent_urination,pelvic_pain,fever,cloudy_urine
UTI,pelvic_pain,frequent_urination,burning_urination,blood_in_urine,fever
UTI,cloudy_urine,burning_urination,frequent_urination,pelvic_pain,fatigue
UTI,fever,burning_urination,frequent_urination,pelvic_pain,back_pain
Gastritis,stomach_pain,nausea,vomiting,bloating,loss_of_appetite
Gastritis,nausea,stomach_pain,bloating,vomiting,indigestion
Gastritis,bloating,stomach_pain,nausea,loss_of_appetite,heartburn
Gastritis,vomiting,stomach_pain,nausea,bloating,fatigue
Gastritis,indigestion,stomach_pain,nausea,bloating,loss_of_appetite
Food_Poisoning,nausea,vomiting,diarrhea,stomach_cramps,fever
Food_Poisoning,vomiting,diarrhea,stomach_cramps,nausea,weakness
Food_Poisoning,diarrhea,vomiting,nausea,fever,stomach_cramps
Food_Poisoning,stomach_cramps,vomiting,diarrhea,nausea,dehydration
Food_Poisoning,fever,diarrhea,vomiting,stomach_cramps,fatigue
Hypertension,headache,dizziness,chest_pain,shortness_of_breath,nosebleed
Hypertension,severe_headache,dizziness,blurred_vision,chest_pain,fatigue
Hypertension,dizziness,headache,nosebleed,shortness_of_breath,fatigue
Hypertension,chest_pain,headache,dizziness,blurred_vision,nosebleed
Hypertension,shortness_of_breath,headache,dizziness,fatigue,chest_pain
Chickenpox,rash,fever,itching,fatigue,headache
Chickenpox,itching,rash,fever,blisters,fatigue
Chickenpox,fever,rash,itching,loss_of_appetite,fatigue
Chickenpox,blisters,itching,rash,fever,headache
Chickenpox,rash,itching,fever,fatigue,blisters
Depression,sadness,fatigue,sleep_problems,loss_of_interest,concentration_issues
Depression,loss_of_interest,fatigue,sadness,sleep_problems,hopelessness
Depression,fatigue,sadness,concentration_issues,sleep_problems,loss_of_appetite
Depression,sleep_problems,sadness,fatigue,loss_of_interest,worthlessness
Depression,hopelessness,fatigue,sadness,loss_of_interest,sleep_problems
Arthritis,joint_pain,swelling,stiffness,fatigue,reduced_motion
Arthritis,stiffness,joint_pain,swelling,fatigue,warmth
Arthritis,joint_pain,stiffness,swelling,reduced_motion,weakness
Arthritis,swelling,joint_pain,stiffness,warmth,fatigue
Arthritis,reduced_motion,joint_pain,stiffness,swelling,fatigue
Kidney_Stone,severe_pain,nausea,vomiting,frequent_urination,blood_in_urine
Kidney_Stone,back_pain,severe_pain,nausea,frequent_urination,blood_in_urine
Kidney_Stone,severe_pain,blood_in_urine,nausea,vomiting,fever
Kidney_Stone,frequent_urination,severe_pain,blood_in_urine,nausea,back_pain
Kidney_Stone,vomiting,severe_pain,nausea,blood_in_urine,frequent_urination
